                                 where file_name in (%s) AND status = 'I' 
2025-10-29 17:14:13.777 | INFO     | main:main:46 | data in file: []
2025-10-29 17:14:13.777 | INFO     | main:main:51 | No records in ['Customers.csv']
2025-10-29 17:14:13.778 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-10-29 17:14:13.781 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-10-29 17:14:13.781 | INFO     | mysql_crud_operations:get_bucket_details:21 | Fetched 1 active bucket(s) for environment: dev
2025-10-29 17:14:13.781 | INFO     | main:main:62 | Bucket details: [{'bucket_name': 'relmart-sales-project', 'folder_path': 'sales_data/'}]
2025-10-29 17:14:13.781 | INFO     | main:main:71 | Processing S3 bucket: relmart-sales-project, folder: sales_data/
2025-10-29 17:14:15.007 | INFO     | aws_read:list_files:12 | Total files available in folder sales_data/ of bucket relmart-sales-project: {'ResponseMetadata': {'RequestId': '4EHQY07SF7G4MA0D', 'HostId': 'QVABvqoW2Pa1vzxUpIzq4wYhiD7zE0gAQuYfuThNRmN+4sl/8rBEtujWL3KEkGnhP9biiGH0IhtbInn9uW7/kt/facHh787ywCOtr+um1Ek=', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amz-id-2': 'QVABvqoW2Pa1vzxUpIzq4wYhiD7zE0gAQuYfuThNRmN+4sl/8rBEtujWL3KEkGnhP9biiGH0IhtbInn9uW7/kt/facHh787ywCOtr+um1Ek=', 'x-amz-request-id': '4EHQY07SF7G4MA0D', 'date': 'Wed, 29 Oct 2025 11:44:16 GMT', 'x-amz-bucket-region': 'us-east-1', 'content-type': 'application/xml', 'transfer-encoding': 'chunked', 'server': 'AmazonS3'}, 'RetryAttempts': 0}, 'IsTruncated': False, 'Contents': [{'Key': 'sales_data/', 'LastModified': datetime.datetime(2025, 10, 29, 10, 37, 6, tzinfo=tzutc()), 'ETag': '"d41d8cd98f00b204e9800998ecf8427e"', 'ChecksumAlgorithm': ['CRC64NVME'], 'ChecksumType': 'FULL_OBJECT', 'Size': 0, 'StorageClass': 'STANDARD'}], 'Name': 'relmart-sales-project', 'Prefix': 'sales_data/', 'MaxKeys': 1000, 'EncodingType': 'url', 'KeyCount': 1}
2025-10-29 17:14:15.007 | INFO     | main:main:78 | Absolute path on s3 bucket for csv file: []
2025-10-29 17:14:15.007 | WARNING  | main:main:81 | No files available at sales_data/
2025-10-29 17:14:15.008 | INFO     | mysql_session:disconnect:32 | 🔌 MySQL connection closed.
2025-10-29 18:41:22.063 | ERROR    | encrypt_decrypt:<module>:16 | Error occured. Details : partially initialized module 'resources.dev.config' from 'Z:\Projects\relmart-project\resources\dev\config.py' has no attribute 'key' (most likely due to a circular import)
2025-10-29 19:32:16.508 | ERROR    | encrypt_decrypt:<module>:16 | Error occured. Details : partially initialized module 'resources.dev.config' from 'Z:\Projects\relmart-project\resources\dev\config.py' has no attribute 'key' (most likely due to a circular import)
2025-10-29 19:32:22.133 | ERROR    | encrypt_decrypt:<module>:16 | Error occured. Details : partially initialized module 'resources.dev.config' from 'Z:\Projects\relmart-project\resources\dev\config.py' has no attribute 'key' (most likely due to a circular import)
2025-10-29 19:32:33.165 | ERROR    | encrypt_decrypt:<module>:16 | Error occured. Details : partially initialized module 'resources.dev.config' from 'Z:\Projects\relmart-project\resources\dev\config.py' has no attribute 'key' (most likely due to a circular import)
2025-10-29 19:34:54.292 | ERROR    | upload_to_s3:upload_to_s3:28 | Error uploading file : Parameter validation failed:
